gene	uniprot	list	call	ensembl_gene_id	previous_symbols
DAXX	Q9UER7	FL	Yes	ENSG00000204209	
PCMTD2	Q9NV79	FL	Yes	ENSG00000203880	C20orf36
DOCK7	Q96N67	FL	Yes	ENSG00000116641	
TFPI2	P48307	FL	Yes	ENSG00000105825	
OCLN	Q16625	FL	Yes	ENSG00000197822	
CSNK2A2	P19784	FL	Yes	ENSG00000070770	
CRKL	P46109	FL	Yes	ENSG00000099942	
CSNK2A1	P68400	FL	Yes	ENSG00000101266	
CYLD	Q9NQC7	FL	Maybe?	ENSG00000083799	
CARMIL1	Q5VZK9	FL	Maybe?	ENSG00000079691	LRRC16A
HMGA1	P17096-2	FL	Maybe?	ENSG00000137309	
C19orf53	Q9UNZ5	FL	Maybe?	ENSG00000104979	
ALG11	Q2TAA5	IFF	Yes	ENSG00000253710	
ANXA3	P12429	IFF	Yes	ENSG00000138772	
CDK6	Q00534	IFF	Yes	ENSG00000105810	
KIF11	P52732	IFF	Yes	ENSG00000138160	
CEP41	Q9BYV8	IFF	Yes	ENSG00000106477	
GLUL	P15104	IFF	Yes	ENSG00000135821	
LTBP1	Q14766	IFF	Yes	ENSG00000049323	
TTYH3	Q9C0H2	IFF	Yes	ENSG00000136295	
HAT1	O14929	IFF	Yes	ENSG00000128708	KAT1
CTNNB1	P35222	IFF	Yes	ENSG00000168036	
B3GALT6	Q96L58	IFF	Maybe?	ENSG00000176022	
SDSL	Q96GA7	IFF	Maybe?	ENSG00000139410	
SLC29A1	Q99808	IFF	Maybe?	ENSG00000112759	
PPP1R21	Q6ZMI0	IFF	Maybe?	ENSG00000162869	KLRAQ1
RCCD1	A6NED2	IFF	Maybe?	ENSG00000166965	
POLA1	P09884	IFF	Maybe?	ENSG00000101868	
URB1	O60287	IFF	Maybe?	ENSG00000142207	C21orf108
SCYL2	Q6P3W7	IFF	Maybe?	ENSG00000136021	
ABCC4	O15439	IFF	Maybe?	ENSG00000125257	
UBE4B	O95155	IFF	Maybe?	ENSG00000130939	
DCBLD2	Q96PD2	IFF	Maybe?	ENSG00000057019	
RB1	P06400	IFF	Maybe?	ENSG00000139687	
COG3	Q96JB2	IFF	Maybe?	ENSG00000136152	
ATP13A3	Q9H7F0	IFF	Maybe?	ENSG00000133657	
IRF2BP2	Q7Z5L9	IFF	Maybe?	ENSG00000168264	
SDC4	P31431	IFF	Maybe?	ENSG00000124145	
